year,months,month_num,inflat_rate
1914,Jan,1,2
1914,Feb,2,1
1914,Mar,3,1
1914,Apr,4,0
1914,May,5,2.1
1914,Jun,6,1
1914,Jul,7,1
1914,Aug,8,3
1914,Sep,9,2
1914,Oct,10,1
1914,Nov,11,1
1914,Dec,12,1
1914,Ave,NA,1
1915,Jan,1,1
1915,Feb,2,1
1915,Mar,3,0
1915,Apr,4,2
1915,May,5,2
1915,Jun,6,2
1915,Jul,7,1
1915,Aug,8,-1
1915,Sep,9,-1
1915,Oct,10,1
1915,Nov,11,1
1915,Dec,12,2
1915,Ave,NA,1
1916,Jan,1,3
1916,Feb,2,4
1916,Mar,3,6.1
1916,Apr,4,6
1916,May,5,5.9
1916,Jun,6,6.9
1916,Jul,7,6.9
1916,Aug,8,7.9
1916,Sep,9,9.9
1916,Oct,10,10.8
1916,Nov,11,11.7
1916,Dec,12,12.6
1916,Ave,NA,7.9
1917,Jan,1,12.5
1917,Feb,2,15.4
1917,Mar,3,14.3
1917,Apr,4,18.9
1917,May,5,19.6
1917,Jun,6,20.4
1917,Jul,7,18.5
1917,Aug,8,19.3
1917,Sep,9,19.8
1917,Oct,10,19.5
1917,Nov,11,17.4
1917,Dec,12,18.1
1917,Ave,NA,17.4
1918,Jan,1,19.7
1918,Feb,2,17.5
1918,Mar,3,16.7
1918,Apr,4,12.7
1918,May,5,13.3
1918,Jun,6,13.1
1918,Jul,7,18
1918,Aug,8,18.5
1918,Sep,9,18
1918,Oct,10,18.5
1918,Nov,11,20.7
1918,Dec,12,20.4
1918,Ave,NA,18
1919,Jan,1,17.9
1919,Feb,2,14.9
1919,Mar,3,17.1
1919,Apr,4,17.6
1919,May,5,16.6
1919,Jun,6,15
1919,Jul,7,15.2
1919,Aug,8,14.9
1919,Sep,9,13.4
1919,Oct,10,13.1
1919,Nov,11,13.5
1919,Dec,12,14.5
1919,Ave,NA,14.6
1920,Jan,1,17
1920,Feb,2,20.4
1920,Mar,3,20.1
1920,Apr,4,21.6
1920,May,5,21.9
1920,Jun,6,23.7
1920,Jul,7,19.5
1920,Aug,8,14.7
1920,Sep,9,12.4
1920,Oct,10,9.9
1920,Nov,11,7
1920,Dec,12,2.6
1920,Ave,NA,15.6
1921,Jan,1,-1.6
1921,Feb,2,-5.6
1921,Mar,3,-7.1
1921,Apr,4,-10.8
1921,May,5,-14.1
1921,Jun,6,-15.8
1921,Jul,7,-14.9
1921,Aug,8,-12.8
1921,Sep,9,-12.5
1921,Oct,10,-12.1
1921,Nov,11,-12.1
1921,Dec,12,-10.8
1921,Ave,NA,-10.5
1922,Jan,1,-11.1
1922,Feb,2,-8.2
1922,Mar,3,-8.7
1922,Apr,4,-7.7
1922,May,5,-5.6
1922,Jun,6,-5.1
1922,Jul,7,-5.1
1922,Aug,8,-6.2
1922,Sep,9,-5.1
1922,Oct,10,-4.6
1922,Nov,11,-3.4
1922,Dec,12,-2.3
1922,Ave,NA,-6.1
1923,Jan,1,-0.6
1923,Feb,2,-0.6
1923,Mar,3,0.6
1923,Apr,4,1.2
1923,May,5,1.2
1923,Jun,6,1.8
1923,Jul,7,2.4
1923,Aug,8,3
1923,Sep,9,3.6
1923,Oct,10,3.6
1923,Nov,11,3
1923,Dec,12,2.4
1923,Ave,NA,1.8
1924,Jan,1,3
1924,Feb,2,2.4
1924,Mar,3,1.8
1924,Apr,4,0.6
1924,May,5,0.6
1924,Jun,6,0
1924,Jul,7,-0.6
1924,Aug,8,-0.6
1924,Sep,9,-0.6
1924,Oct,10,-0.6
1924,Nov,11,-0.6
1924,Dec,12,0
1924,Ave,NA,0
1925,Jan,1,0
1925,Feb,2,0
1925,Mar,3,1.2
1925,Apr,4,1.2
1925,May,5,1.8
1925,Jun,6,2.9
1925,Jul,7,3.5
1925,Aug,8,4.1
1925,Sep,9,3.5
1925,Oct,10,2.9
1925,Nov,11,4.7
1925,Dec,12,3.5
1925,Ave,NA,2.3
1926,Jan,1,3.5
1926,Feb,2,4.1
1926,Mar,3,2.9
1926,Apr,4,4.1
1926,May,5,2.9
1926,Jun,6,1.1
1926,Jul,7,-1.1
1926,Aug,8,-1.7
1926,Sep,9,-1.1
1926,Oct,10,-0.6
1926,Nov,11,-1.7
1926,Dec,12,-1.1
1926,Ave,NA,1.1
1927,Jan,1,-2.2
1927,Feb,2,-2.8
1927,Mar,3,-2.8
1927,Apr,4,-3.4
1927,May,5,-2.2
1927,Jun,6,-0.6
1927,Jul,7,-1.1
1927,Aug,8,-1.1
1927,Sep,9,-1.1
1927,Oct,10,-1.1
1927,Nov,11,-2.3
1927,Dec,12,-2.3
1927,Ave,NA,-1.7
1928,Jan,1,-1.1
1928,Feb,2,-1.7
1928,Mar,3,-1.2
1928,Apr,4,-1.2
1928,May,5,-1.1
1928,Jun,6,-2.8
1928,Jul,7,-1.2
1928,Aug,8,-0.6
1928,Sep,9,0
