"","date","gdp","gdp_cap"
"1",1960,541988586206.897,2999.86487154495
"2",1961,561940310344.828,3059.16082086127
"3",1962,603639413793.103,3236.01311150062
"4",1963,637058551724.138,3366.36978960346
"5",1964,684144620689.655,3565.31443016356
"6",1965,741904862068.965,3818.28825117968
"7",1966,813032758620.69,4136.30829579106
"8",1967,859620034482.759,4325.95935063186
"9",1968,9.40225e+11,4684.58840293763
"10",1969,1017438172413.79,5019.99818634473
"11",1970,1.073303e+12,5234.2966662115
"12",1971,1.16485e+12,5609.38259952519
"13",1972,1.27911e+12,6094.01798986165
"14",1973,1.425376e+12,6726.35895596695
"15",1974,1.545243e+12,7225.69135952566
"16",1975,1.684904e+12,7801.45666356443
"17",1976,1.873412e+12,8592.25353727612
"18",1977,2.081826e+12,9452.57651914511
"19",1978,2.351599e+12,10564.9482220275
"20",1979,2.627333e+12,11674.1818666548
"21",1980,2.857307e+12,12574.7915062163
"22",1981,3.207041e+12,13976.10539252
"23",1982,3.343789e+12,14433.787727053
"24",1983,3.634038e+12,15543.8937174925
"25",1984,4.037613e+12,17121.2254849995
"26",1985,4.338979e+12,18236.8277265009
"27",1986,4.579631e+12,19071.2271949295
"28",1987,4.855215e+12,20038.9410992658
"29",1988,5.236438e+12,21417.0119305191
"30",1989,5.64158e+12,22857.1544330056
"31",1990,5.963144e+12,23888.6000088133
"32",1991,6.158129e+12,24342.2589048189
"33",1992,6.520327e+12,25418.9907763319
"34",1993,6.858559e+12,26387.2937338171
"35",1994,7.287236e+12,27694.853416234
"36",1995,7.639749e+12,28690.8757013347
"37",1996,8.073122e+12,29967.7127181749
"38",1997,8.577552e+12,31459.1299691554
"39",1998,9.062817e+12,32853.6725949234
"40",1999,9.631172e+12,34515.3813073394
"41",2000,1.0250952e+13,36329.9702595751
"42",2001,1.0581929e+13,37133.6203973517
"43",2002,1.0929108e+13,37997.7424300242
"44",2003,1.145645e+13,39490.3023903176
"45",2004,1.2217196e+13,41724.6411982614
"46",2005,1.3039197e+13,44123.3996470026
"47",2006,1.3815583e+13,46301.9876485519
"48",2007,1.4474228e+13,48050.227412195
"49",2008,1.4769862e+13,48570.0594269601
"50",2009,1.4478067e+13,47194.9500893872
"51",2010,1.5048971e+13,48650.6643227232
"52",2011,1.5599732e+13,50065.9789470675
"53",2012,1.625397e+13,51784.4114692048
"54",2013,1.6880683e+13,53409.7507774372
"55",2014,1.7608138e+13,55304.3155317137
"56",2015,1.8295019e+13,57040.2082136605
"57",2016,1.8804913e+13,58206.6141931844
"58",2017,1.9612102e+13,60322.2614241747
"59",2018,2.0656516e+13,63201.0458483771
"60",2019,2.1539982e+13,65604.6815198734
"61",2020,2.1354105e+13,64411.3731779373
"62",2021,2.3681171e+13,71318.3073592183
"63",2022,2.6006893e+13,78035.1753604212
"64",2023,2.7720709e+13,82769.4122114216
